                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.14968,                0.10673,                0.81179,                0.99999,                      1,                  0.995,                0.93861,                0.36868,                0.14521,                0.80329,               0.002872,               0.002872,               0.002872
                     39,                0.14741,                0.10568,                0.81067,                0.99999,                      1,                  0.995,                0.93631,                0.37386,                0.14698,                0.80491,               0.002674,               0.002674,               0.002674
                     40,                0.14354,                0.10258,                0.80979,                0.99999,                      1,                  0.995,                 0.9348,                0.37669,                0.14852,                0.80582,               0.002476,               0.002476,               0.002476
                     41,                0.10573,                0.07829,                0.77661,                0.99999,                      1,                  0.995,                0.94026,                0.36527,                0.14452,                0.80219,               0.002278,               0.002278,               0.002278
                     42,                0.10234,                0.07674,                 0.7753,                0.99999,                      1,                  0.995,                0.94692,                0.35254,                0.14051,                0.79765,                0.00208,                0.00208,                0.00208
                     43,                0.09957,                 0.0751,                0.77486,                0.99999,                      1,                  0.995,                0.94843,                0.34924,                0.13946,                0.79662,               0.001882,               0.001882,               0.001882
                     44,                0.09485,                0.07106,                0.77479,                0.99999,                      1,                  0.995,                 0.9486,                0.34925,                0.13931,                0.79647,               0.001684,               0.001684,               0.001684
                     45,                0.09272,                0.06999,                0.77349,                0.99999,                      1,                  0.995,                 0.9476,                0.35042,                0.13944,                0.79674,               0.001486,               0.001486,               0.001486
                     46,                0.09048,                0.06806,                0.77334,                0.99999,                      1,                  0.995,                0.94708,                0.35209,                0.14004,                0.79698,               0.001288,               0.001288,               0.001288
                     47,                0.08729,                0.06569,                0.77288,                0.99999,                      1,                  0.995,                0.94672,                0.35343,                0.14039,                0.79718,                0.00109,                0.00109,                0.00109
                     48,                0.08385,                0.06328,                0.77182,                0.99999,                      1,                  0.995,                0.94655,                0.35437,                0.14071,                0.79729,               0.000892,               0.000892,               0.000892
                     49,                0.08159,                0.06133,                0.77188,                0.99999,                      1,                  0.995,                0.94637,                0.35514,                0.14114,                0.79759,               0.000694,               0.000694,               0.000694
                     50,                0.07865,                0.05848,                0.77102,                0.99999,                      1,                  0.995,                0.94552,                0.35672,                0.14171,                 0.7982,               0.000496,               0.000496,               0.000496
