                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86057,                 1.0165,                 1.1844,                0.86647,                0.84241,                0.92908,                0.74383,                0.69846,                 0.6723,                0.94505,              0.0033322,              0.0033322,              0.0033322
                      2,                0.79025,                0.64789,                 1.1321,                0.89829,                0.89148,                0.95215,                 0.7689,                0.69788,                0.59282,                 0.9455,              0.0064456,              0.0064456,              0.0064456
                      3,                0.77099,                0.60038,                 1.1217,                0.90492,                0.89835,                0.96057,                0.77673,                0.70752,                0.58028,                0.95582,               0.009339,               0.009339,               0.009339
                      4,                0.74813,                0.56486,                   1.11,                0.93133,                0.91545,                0.97153,                0.79594,                0.67778,                0.53092,                0.94134,                0.00901,                0.00901,                0.00901
                      5,                0.72451,                0.53347,                 1.0976,                0.93698,                0.93326,                0.97811,                0.81251,                0.65832,                0.50319,                0.93473,                0.00901,                0.00901,                0.00901
                      6,                0.70721,                0.51303,                 1.0858,                0.93901,                 0.9393,                0.97907,                0.81535,                 0.6544,                0.48815,                0.93253,                0.00868,                0.00868,                0.00868
                      7,                0.69321,                0.49879,                 1.0768,                0.94626,                0.95268,                0.98307,                0.83545,                0.61203,                0.45862,                0.91884,                0.00835,                0.00835,                0.00835
                      8,                0.68218,                0.48835,                 1.0709,                0.95433,                0.95049,                0.98459,                0.83392,                0.62058,                0.45616,                0.92036,                0.00802,                0.00802,                0.00802
                      9,                 0.6778,                0.48344,                 1.0677,                0.94992,                0.95154,                0.98349,                0.82908,                 0.6333,                0.46191,                 0.9265,                0.00769,                0.00769,                0.00769
                     10,                0.67007,                0.47472,                 1.0614,                0.95421,                0.95804,                  0.986,                0.83578,                0.62483,                0.44717,                0.92008,                0.00736,                0.00736,                0.00736
                     11,                0.66274,                0.46902,                 1.0576,                0.95786,                0.95753,                 0.9865,                0.83791,                0.62095,                0.43572,                0.91942,                0.00703,                0.00703,                0.00703
                     12,                0.65913,                0.46525,                 1.0558,                0.95804,                0.95745,                0.98622,                0.83649,                0.62084,                0.44467,                 0.9154,                 0.0067,                 0.0067,                 0.0067
                     13,                0.65366,                0.46121,                 1.0523,                0.95836,                0.96227,                 0.9869,                0.84284,                0.60963,                0.43055,                0.91456,                0.00637,                0.00637,                0.00637
                     14,                0.64796,                0.45473,                 1.0484,                0.96108,                0.96314,                0.98826,                 0.8446,                0.60902,                0.42489,                0.91196,                0.00604,                0.00604,                0.00604
                     15,                 0.6457,                0.45388,                 1.0474,                0.95967,                0.96371,                0.98776,                0.84795,                0.60392,                0.42691,                0.91242,                0.00571,                0.00571,                0.00571
                     16,                 0.6426,                0.45022,                 1.0453,                0.96356,                0.96859,                 0.9885,                0.84659,                0.60476,                0.42041,                0.91044,                0.00538,                0.00538,                0.00538
                     17,                0.63933,                0.44719,                 1.0417,                0.96375,                 0.9679,                0.98876,                0.84983,                0.59932,                0.41727,                 0.9087,                0.00505,                0.00505,                0.00505
                     18,                0.63593,                0.44441,                 1.0411,                0.96468,                0.96671,                0.98791,                 0.8482,                0.59768,                0.41636,                0.90732,                0.00472,                0.00472,                0.00472
                     19,                0.63175,                0.43886,                 1.0369,                0.96393,                0.97015,                0.98888,                0.85367,                0.58675,                0.40988,                0.90348,                0.00439,                0.00439,                0.00439
                     20,                 0.6282,                0.43764,                 1.0361,                 0.9654,                0.96978,                0.98971,                0.85394,                0.59617,                0.41141,                0.90579,                0.00406,                0.00406,                0.00406
                     21,                0.52157,                0.36262,                0.96761,                0.97222,                0.97737,                0.99088,                0.87686,                0.53231,                0.37419,                0.87868,                0.00373,                0.00373,                0.00373
                     22,                0.51565,                0.35764,                0.96226,                0.97312,                0.97833,                0.99091,                0.87925,                0.52642,                0.37048,                0.87538,                 0.0034,                 0.0034,                 0.0034
                     23,                 0.5108,                0.35416,                0.96075,                0.97209,                0.97759,                0.99103,                0.88057,                0.52645,                0.36979,                0.87567,                0.00307,                0.00307,                0.00307
                     24,                0.50823,                0.35141,                0.95867,                 0.9736,                 0.9781,                0.99133,                0.88068,                0.52609,                0.36763,                0.87479,                0.00274,                0.00274,                0.00274
                     25,                0.50377,                0.34871,                0.95762,                0.97359,                0.97892,                0.99155,                0.88364,                0.52416,                0.36536,                0.87454,                0.00241,                0.00241,                0.00241
                     26,                0.50072,                0.34619,                0.95442,                0.97466,                0.97917,                0.99164,                0.88507,                0.52027,                0.36372,                0.87393,                0.00208,                0.00208,                0.00208
                     27,                0.49629,                0.34237,                0.95009,                  0.975,                0.98093,                0.99208,                0.88593,                0.51851,                0.36153,                0.87201,                0.00175,                0.00175,                0.00175
                     28,                0.49427,                0.34057,                0.95099,                0.97516,                0.98028,                 0.9919,                0.88577,                0.51753,                0.36188,                0.87137,                0.00142,                0.00142,                0.00142
                     29,                0.49156,                0.33817,                0.94767,                0.97548,                0.98094,                0.99203,                0.88722,                0.51483,                0.36073,                0.86982,                0.00109,                0.00109,                0.00109
                     30,                0.48793,                0.33606,                0.94643,                0.97619,                0.98023,                0.99203,                 0.8873,                0.51487,                0.36098,                0.87014,                0.00076,                0.00076,                0.00076
